caption,passport_link,comment,vertical,subvertical,category,media,author
"From Botox and Coolsculpting to GPS Lipo, we offer a variety of cosmetic treatments to help you look and feel your very best.",https://passport.mainstreethub.com/location/80742/content/7a0074fd-ada0-449a-a845-7c5c26a3a737,This brand kit post establishes a great sense of customer voice for talking about the treatments they offer. The photo also doesn't need cropping thanks to the mask!,Health and Wellness,,Product/Service,https://media.mainstreethub.com/media/404bd609-d56c-4913-9f4a-5071d0655cd9,Clare Murray
Half the fun is in the find! Check out our updated Green River fishing report at https://www.flaminggorgeresort.com/Fishing_Report. #greenriverfishing #greenriverfishingreport #flaminggorgeresort #flaminggorgeresortfishingreport #flaminggorgeresortguides #fgresortfishingreport #fishthegreen,https://passport.mainstreethub.com/location/76317/content/7ac021eb-cc49-4bbe-98b9-7e471fda4e57,Going to the website to create a totally unique post for this resort customer.,Hotel,,Product/Service,https://media.mainstreethub.com/media/819872e7-816a-4ab6-a902-e0b205a4a1b2,Jose Rodriguez
"Lake George is quite the popular spot. It appeared in a two-page spread in the New York Times and on the Wall Street Journal Report’s “Family Destination Segment.” It was even voted number 5 out of 20 in “Boater’s World” for favorite family boater destination, along with various other mentions in magazines, surveys, and more!",https://passport.mainstreethub.com/location/60878/content/311cda36-bfdf-4344-bd32-5383194592af,"Relying on the notes and info the customer previously provided for an awesome, specific local education post. ",Hotel,,Educational,https://media.mainstreethub.com/media/87adf072-b3a4-4d04-995d-b87d0e96ce32,Nicole Lechner
Need help finding the purrfect cat food? Our team is here to help you find just the bag for you to take home to your kitty to ensure they stay happy and healthy!,https://passport.mainstreethub.com/location/35211/content/758e72ed-d531-4e43-b961-47ad9d615680,Straightforward but totally effective product highlight for a pet store. Appealing to a specific segment of the audience: Cat owners!,Pets,,Product/Service,https://media.mainstreethub.com/media/1c8151d2-969a-407f-8327-1b54d962c4b6,Laura Chandler
"Our team is fully equipped to meet the needs of your animals by providing surgical services, dental services, preventative care, annual exams, and vaccinations. Give us a call at (719) 598-7879 if there's anything you need.",https://passport.mainstreethub.com/location/56030/content/32820c28-f408-4935-b02a-6be6826fe1f6,Getting into the specific services this vet offers that other vets may not necessarily provide.,Pets,,Product/Service,https://media.mainstreethub.com/media/b9ffda81-154d-4a65-b0bf-dadb2dcdd9ec,Alyssa Imig
"Pretty in pink -- and yellow! If you can't decide on a color or style for your custom frames, just click the link to book a design consultation: https://framedinmontrose.com/.",https://passport.mainstreethub.com/location/40902/content/03e53871-9c9e-48e6-a746-f598a11ba994,"Nice actionable language with a hook and image that fit the customer's service, framing.",Retail,,Product/Service,https://media.mainstreethub.com/media/f2706985-c839-41af-a250-8b2c8c2a4733,Zoe Labos
"Our world may be mostly digital these days, but classic photo albums are making a comeback! They're a great way to safely store and display those Polaroid photos, prints, and other memorabilia.",https://passport.mainstreethub.com/location/60140/content/21608b8c-153e-4fb5-84f3-179f59ffa2b8,Taking inspiration from the photo in a really creative way. Adds variety and gives people a reason to visit this retail customer.,Retail,,Product/Service,https://media.mainstreethub.com/media/f8b61f8a-19bd-4113-976c-7f181c63363f,Zoe Labos
We specialize in custom countertops! Let's get started on your dream upgrades today. Give us a call at (813) 992-8007.,https://passport.mainstreethub.com/location/58782/content/d49b03c4-21fb-4b7f-b465-8bfd0879ff88,Going to the notes to promote building and installing custom countertops.,Retail,,Product/Service,https://media.mainstreethub.com/media/c9867023-5fe8-4a7b-8d77-d6a751625554,Nancy Gonzalez
"Many of us spend our days staring at a computer screen, so it's no wonder headaches are rampant! Be sure to stock up on plenty of #allnaturalpainrelief so you can stay focused on the task at hand. #livenaturally",https://passport.mainstreethub.com/location/55573/content/c8d12cc2-3bdf-46bb-8cd8-206f681e587d,Relatable and overall positive way to promote natural pain relief. Also avoids making any concrete health claims!,Retail,,Product/Service,https://media.mainstreethub.com/media/bedb2e39-5cb5-45a6-a385-e89dffb416d0,Laura Chandler
"As your personal designer, we’re committed to listening to your needs, taking into account your lifestyle, and helping to keep you ahead of the design curve -- leaving your home both beautiful and functional.",https://passport.mainstreethub.com/location/78311/content/fce22f0e-f210-4972-8498-77843369e377,Amazing sense of customer voice for an upscale home furniture store! Connecting to people's needs in a number of ways.,Retail,,Product/Service,https://media.mainstreethub.com/media/81c134f3-8ba8-45c7-8556-130a2cb37add,Emily Holton
"When you're not sure what it is you're craving, the answer is probably one of our Stromboli! Speaking of, which one is your favorite? #pennsylvania #pennsylvaniafood #pennsylvaniafoodie #freshfood #madefreshdaily #familyfood",https://passport.mainstreethub.com/location/52884/content/1d0e24b6-302f-4978-9b20-4ca43790e73a,"Elevating a popular concept with unique customer detail, an engagement question, and an absolutely perfect photo that illustrates your choices.",Restaurant,,Product/Service,https://media.mainstreethub.com/media/a8ef7415-262a-463a-be59-117407b4f564,Omar Guzman
"Since 1944, we've had the pleasure of helping our community bring light, color, and brightness into their homes. Here's to many more years to come! #houseofcolor #paint #sanbruno #since1944 #decoratingcenter",https://passport.mainstreethub.com/location/64928/content/99d9b530-39be-4b6f-aaec-98aa57fce087,"Great customer voice for this specific type of business, a paint store.",Retail,,About the Business,https://media.mainstreethub.com/media/3536b718-7ced-4486-84c2-b0d1a8abbaaa,Faryn Duncan
"Whether you already have favorite crystals and pendants or you want to branch out, we've got a wide variety of products to help enhance your spiritual journey.",https://passport.mainstreethub.com/location/48782/content/6e5beda0-df26-4d72-a379-c675b8cd78e3,Highlighting unique products with a super clear sense of customer voice.,Retail,,Product/Service,https://media.mainstreethub.com/media/7233aa28-f1bc-4e0f-a350-f8038554aee5,Hallie Colbert
"Have you heard of the Boomerang CycloTrac? It's the world's most effective bike anti-theft and safety system. If you'd like to see how it works, stop by and say hello. You can also visit their website: https://boomerangbike.com/",https://passport.mainstreethub.com/location/43334/content/47c07031-9538-4af2-a626-5f48d69e47d5,Promoting a specific product for this bike shop with a clear call to action!,Retail,,Product/Service,https://media.mainstreethub.com/media/710efcbf-bad8-4681-8b30-45353b4f2eec,Logan Voss
"Not sure what country, roast level, or flavor profile you're looking for in your coffee beans? That's why we're here for you! Stop by our place and we'll happily help you find just the coffee you're looking for.",https://passport.mainstreethub.com/location/76584/content/72c558f1-5846-4262-ad3f-24d7e8ae943c,Clearly addressing the questions people might have when selecting a coffee and how the customer can help.,Restaurant,,Product/Service,https://media.mainstreethub.com/media/78e7753b-17b2-4c63-8c83-45f9342773a6,Laura Chandler
Don't worry -- no rainbows were harmed in the making of this vanilla cone! 🌈 #dairyqueen #orangejulius #theblizzard #dq #fanfood,https://passport.mainstreethub.com/location/80460/content/470e8f22-8c1b-4047-a851-d5224565540a,Simple but so fun and likely to make readers head straight to the nearest Dairy Queen.,Restaurant,,Product/Service,https://media.mainstreethub.com/media/58df8679-a607-41f4-bfcb-01f630776305,Faryn Duncan
Today is Wednesday! You know what that means? $1 off every drink! Also we have poker from 6 - 9 PM tonight. Come join us for some fun.,https://passport.mainstreethub.com/location/70136/content/a0e08b8a-2f66-46f7-910a-42d2fc163218,Digging into customer info to highlight some awesome daily specials.,Restaurant,,Product/Service,https://media.mainstreethub.com/media/361ef2dd-91a7-45cc-9776-e98c0785aa80,Derek Koh
Add a little color to your locks. I'll help you choose a beautiful color choice like this. #dmvstylist #dmvhairstylists #mdstylists #templehills #gshairsalon #glamouroustyleshairstudio #completehairsolutions #mdtrichologists #hairloss #haircolor #qualitycare,https://passport.mainstreethub.com/location/78600/content/33289845-bed3-476c-90ea-0c22f8a022f9,Taking inspiration from the photo for an awesome highlight of this salon's color choices.,Spa and Salon,,Product/Service,https://media.mainstreethub.com/media/8cfa6edb-e297-45cf-bd15-26c41fe44445,Jordan DeRego
"Sellers, don't forget to declutter your bathroom counter! It's okay to leave out a soap dispenser and fresh towels, but put away that toothpaste -- and scrub the sink while you're at it. #tipforsellers",https://passport.mainstreethub.com/location/77565/content/dae30af7-5bfc-4072-a740-9648a0f7ff84,Going beyond your standard cleaning/staging tip to offer more specific advice and impart a more personal sense of voice.,Professional Services,Real Estate,Educational,https://media.mainstreethub.com/media/889cd804-3dec-437d-be36-e6255377f5c0,Zoe Labos
"Set the mood for your buyer. Stick to brightly colored flowers that reflect the vibrant season and will catch buyers’ eye. Red flower varieties, like zinnia, pop against a neutral-colored home while yellow flowers, like easy-to-maintain daffodils, exude warmth and happiness. #winterhavenrealestate #floridarealestate #floridarealtor",https://passport.mainstreethub.com/location/57825/content/013d2d71-b480-470a-b156-5084ae6a0f6d,Taking curb appeal to the next level with some helpful color theory.,Professional Services,Real Estate,Educational,https://media.mainstreethub.com/media/42c6ac25-6104-4148-82d5-dcae9125e310,Allie Pape
"Is it your first time buying a home in the LA County, San Gabriel Valley, or North Orange County area? Have no fear! From searching to closing, our team is here to guide you every step of the way: (213) 819-7554.",https://passport.mainstreethub.com/location/79057/content/7c4bb5ed-4aad-4a4a-b439-06389730d646,"Addressing first-time buyers in specific areas. Keeping things positive with ""have no fear!"" rather than referring to homebuying as stressful, intimidating, difficult, overwhelming.",Professional Services,Real Estate,Product/Service,https://media.mainstreethub.com/media/b45c06ed-02f2-4fed-9860-e24aa228e662,Amanda Aguirre
"It's getting warmer in Georgia by the day, so now's the time to get your pool maintained and staged to sell to those summer home buyers! #poolside #readyforsummer #staging",https://passport.mainstreethub.com/location/78805/content/4feaf0af-5733-41a5-8cdd-7401450fa4ab,"When an agent has fun photos like this, it's great to use them as inspiration for tips or calls to action for buyers and sellers alike.",Professional Services,Real Estate,Educational,https://media.mainstreethub.com/media/d5e35b09-28cb-4d33-9c08-0b2c35f6064a,Laura Chandler
"Hey, house flippers: What's your best piece of advice that you wish you would've known before your first flip?",https://passport.mainstreethub.com/location/74291/content/17a9163c-ecb2-43ca-b3fa-23f77e248045,It's great to address such a specific audience as the hook to a unique engagement question!,Professional Services,Real Estate,Audience Participation,https://media.mainstreethub.com/media/f116dc25-42e3-4b87-948b-be3489f07438,Faryn Duncan
"For those new to Portage County, our team is happy to be your local resource for community overviews and neighborhood insights. Call us today to chat about tapping into your next real estate opportunity here: (330) 673-5883.",https://passport.mainstreethub.com/location/68558/content/047589db-7a71-422b-836c-a5b7f2ac01a5,Going to the customer info to include the specific communities where they can help. Phrasing feels unique and appropriate for an agent who's professional but still friendly and approachable.,Professional Services,Real Estate,Product/Service,https://media.mainstreethub.com/media/efeeb904-99b5-4ae3-9818-921eb630c1a8,Gabrielle Medina
I know from experience -- your pup would love a backyard! I'll help you find a home that meets everyone's needs. #realtyexecutivesplatinum #watertownwi #watertownrealty #buywatertown,https://passport.mainstreethub.com/location/72625/content/1924bc4f-6fec-428a-b73b-03c35be18038,"Fun take on a photo of the real estate agent with her pet. Phrasing it in terms of ""I know from experience"" adds a nice personal touch. ",Professional Services,Real Estate,Product/Service,https://media.mainstreethub.com/media/513d3f3e-c541-4c13-9dbc-067f0b454a79,Esther Seawell
Local market knowledge makes a huge difference when buying a home. Put your trust in a team that has 30+ years of experience in the amazing city of Beverly. Visit our website to learn more about us: http://mbaresidential.com #coastalhomes #realtorlife #realtorlove #dreamteam #bostonnorthshore #dreamhome,https://passport.mainstreethub.com/location/65688/content/2f410a19-b136-45ab-9347-47046d1d5276,"A perfect About The Business post for a real estate agency. Thirty years of experience definitely sets this customer apart, and referring to the specific city is great too!",Professional Services,Real Estate,About the Business,https://media.mainstreethub.com/media/29660a59-f0cd-4991-b91f-13804e788c40,Nicole Lechner
Still looking for a set of keys to add to this chain? We've got 3 and 4 bedroom houses available for this coming August. Check out our website at www.tomharringtonproperties.com and choose your house for next school year!,https://passport.mainstreethub.com/location/78855/content/f17ef4dd-aa68-4145-ad98-a89a7f6cac28,Clear consumer need: Moving before school starts. Actionable and enhanced with great details from the customer website!,Professional Services,Real Estate,Product/Service,https://media.mainstreethub.com/media/612b0501-eee8-44aa-aa9f-f4cefa27a914,Gillian Golden
I'm proud of the work we've done and the great community we've created here in Virginia Beach and beyond. There's a reason I chose to stay in Coastal Virginia! Call me if you’d like to find your new home and experience the beach lifestyle: (757) 617-0979.,https://passport.mainstreethub.com/location/70016/content/adfc02f3-c46f-46d2-be2f-4e94d7cbbf7e,"Connecting to the location and the fact the real estate agent lives there, but going beyond simply stating the facts. Perfect blend of positive sentiment and actual info.",Professional Services,Real Estate,Product/Service,https://media.mainstreethub.com/media/595b3058-b2c8-4924-80cc-36326b2faf4d,Fran O'Steen
"Your dealership depends on us to get everything back to working like new. We'll pick it up straight from their location, and when it's ready, we'll text you! #24hrcollisioncenter #vancouver #autobody #collisionrepair #caraccident",https://passport.mainstreethub.com/location/7656/content/4c834072-3cb5-4ee5-9ef3-e96680c3ad42,"Dealership repairs are a great service to promote, and this post inspires confidence with easy, customer-specific steps!",Automotive,Auto repair,Product/Service,https://media.mainstreethub.com/media/e5a0e730-774f-43f2-b920-b1c5ac3b2e33,Valerie Lancaster
Ever taken a test drive but weren't exactly sure what to pay attention to? Here are a couple of things to keep in mind for the next time you're looking to buy a car: Does the car have enough power for you? How does the steering feel? What about brakes sensitivity? We'll be happy to help you find the right car for you when the time comes. #BuckwalterMotors #preowned #PreownedCars #PreownedVehicles #CarsForSale #UsedCars #CarShopping #UsedCarsForSale #BuyACar #AffordableCars,https://passport.mainstreethub.com/location/74162/content/ef09f248-c478-43e1-b7de-e6b258f84771,Helpful and relevant tip with a photo that perfectly complements the tone.,Automotive,Auto sales,Educational,https://media.mainstreethub.com/media/d5e34469-8243-4e88-b82e-a5fe416f5389,Valerie Lancaster
"Did you know that most brakes have ""squealers"" that scrape the rotor when the brake pads are too thin? This is their way of saying: ""Please! Replace me!""",https://passport.mainstreethub.com/location/49353/content/480b81b0-09ed-48ef-be6f-9bf2c9124db8,Fun twist on a post about replacing brake pads! ,Automotive,Auto repair,Product/Service,https://media.mainstreethub.com/media/df2fa1b8-ffdc-423c-862d-7f2b0d98d9c1,Nancy Gonzalez
There's no better feeling than having a clean vehicle. Let Superior Express Car Wash give you that peace of mind you deserve.,https://passport.mainstreethub.com/location/72010/content/8b5d8001-7057-4348-8e1b-33003df816c4,"A nice example of going beyond a stretchy sentiment by tying it back to the specific service, car washes. ",Automotive,Car wash,Product/Service,https://media.mainstreethub.com/media/138565ed-8cbc-49d2-9cc6-529af4327c08,Corey Cavanaugh
"Whether you’re seeking ServSafe certification or a diet that works with your allergies and intolerance, we’re tailoring a personalized plan.",https://passport.mainstreethub.com/location/77986/content/952dce20-8437-4122-b6e3-6dcea31a53a6,Two super specific offerings from this customer that appeal to both health professionals and folks seeking dietary help.,Health and Wellness,Holistic,Product/Service,https://media.mainstreethub.com/media/8b3792e4-eb27-42d2-a876-f2074dd65275,Stephanie Torre
"Horses understand us in ways we don't even realize, bringing us comfort, calm, and connection when we need it most.",https://passport.mainstreethub.com/location/80740/content/4a4df47b-e9a0-4985-aa6a-fc51bd24310e,Great sense of voice when describing the benefit of this customer's unique form of therapy.,Health and Wellness,Emotional wellness,Educational,https://media.mainstreethub.com/media/6cef9f58-95ec-4031-913f-964046c51a34,Brandon Kenning
"Football players, wrestlers, skiers and more have come to rely on chiropractic care when they're injured while playing. If you’ve incurred a sports injury, give us a call at (312) 733-8676 to schedule an appointment.",https://passport.mainstreethub.com/location/50441/content/ce06ab84-6f66-4be7-ae1a-611be4a41777,"While it's important to avoid guaranteeing specific health benefits, referring to sports injuries makes a great way to frame this chiropractor's services!",Health and Wellness,Holistic,Product/Service,https://media.mainstreethub.com/media/ba9784a6-fd8f-4378-b53f-e29f46a5440b,Esther Seawell
"Originally known as Camp Moorehart, which was erected in 1975, the Hammakers transformed it into a gorgeous 3,600 square-foot event space in 2010.",https://passport.mainstreethub.com/location/71478/content/a09ddf53-c503-43ab-b26f-be30fb4fcfe1,Going back to customer info for a super informative post promoting the event space.,Hotel,Bed and Breakfast,Product/Service,https://media.mainstreethub.com/media/42f869f2-3b18-44c8-a395-db930ac454e9,Stephanie Torre
"Who's ready for some fun in the sun this summer? Summer books quickly, so schedule your stay online at http://www.greenturtlebay.com. #GreenTurtleBay #ResortAndMarina #ThirstyTurtle #GrandRiversKY #DockerBaysideGrill #WeekendGetaway",https://passport.mainstreethub.com/location/34218/content/99482b71-badb-4a79-bdba-f82d868cd7ba,"Fun but actionable, with a photo that makes you want to book now.",Hotel,Resort,Product/Service,https://media.mainstreethub.com/media/52276a08-986a-4841-94b4-52c42b92a262,Emily Carpenter
"Could you say no to that face? April is National Poetry Month, so we're calling on all of you to take a moment to compose an ode, haiku, or whatever else in honor of favorite companion!",https://passport.mainstreethub.com/location/55296/content/963fefc4-653c-4049-bf62-14b7a5c3f0f0,"A great tie in to a a goofy ""National ___ Month."" Relevant and fun with an on-brand stock photo. Definitely engaging.",Pets,Veterinary,Audience Participation,https://media.mainstreethub.com/media/9598c506-5e05-43bc-b1d5-41fba82c3658,Gillian Golden
"There's an art to every aspect of koi maintenance -- even feedings. If you have any questions about proper procedures, don't hesitate to get in touch at (845) 325-5050. #TheKoiStoryFishFarm #KoiCare #FeedTheFish",https://passport.mainstreethub.com/location/79266/content/fd688a91-0f34-4dcb-9414-dabeceb88e69,"Strong customer voice, helpful expertise, and giving people a clear reason why they might need to call in.",Pets,Pet store,Product/Service,https://media.mainstreethub.com/media/4f3bc0c8-2a9e-4706-a6dd-d60f1585f3d7,Andrew Broadous
"Whether you're a professional landscaper or a homeowner making your backyard beautiful, at Salazar's you'll find everything you need to transform your ideas into reality. #salazarsnursery #landscaping #plantnursery #plants #vernonwa #salazars",https://passport.mainstreethub.com/location/58970/content/1c45c1ab-6b1d-40cf-ad63-5c20b91df09f,Addressing specific segments of the audience based on a clear seasonal need.,Retail,Gardening,Product/Service,https://media.mainstreethub.com/media/899f6f13-2307-4a98-b605-dd17fc923909,Cecil Sparkman
"If you've been thinking about introducing new products into your cleaning regimen, why not begin today? From room fragrances to dryer balls and sanitizers, we have everything you need to start fresh. #bocaraton #vacmd #vacuum #localbusiness #bocalife #goodhousekeeping #cleanhomehappyhome #bocaratonhomes #bocamom",https://passport.mainstreethub.com/location/69857/content/ff22fa74-25d2-42d3-aac9-195682a765b7,Highlighting a secondary range of products this vacuum store sells. Great way to meet additional consumer needs and increase variety.,Retail,Cleaning supplies,Product/Service,https://media.mainstreethub.com/media/f96701fe-6850-4806-99c4-15d14f9447b7,Hallie Colbert
We're dedicated to your hobbies. Having a hobby that we enjoy brings us joy and enriches our lives. It gives us something fun to do during our leisure time and affords us the opportunity to learn new skills.,https://passport.mainstreethub.com/location/76157/content/f6c95110-70ec-474e-9414-651f136b7c6c,"Expanding on a unique sentiment that's very relevat to the customer. Might stretch to other specific hobby-oriented shops, but has a unique sense of customer voice and nice design element adding specificity.",Retail,Hobbies and crafts,About the Business,https://media.mainstreethub.com/media/02704744-a3eb-4fa7-8122-fe5b5173ae60,Allie Pape
"With so many fabrics to choose from, the creative possibilities for your next quilting project have endless potential! Stop by or visit our website to see what's new: http://sewuniquecustomquilting.com.",https://passport.mainstreethub.com/location/76545/content/7a9c3434-1a25-4e87-a8f0-21516b9180ea,Actionable and unique to this shop's quilting products.,Retail,Hobbies and crafts,Product/Service,https://media.mainstreethub.com/media/e33385f6-3bda-461a-ae70-0d0f2b240b8a,Robert Valenzuela
"Feel like your thimble collection is missing the one that'll make it perfect? With Jan's beautiful, handcrafted pieces, she's positive she's got exactly what you need: https://www.thimblesforyou.com. #sewthimble #sewquilt #chatelainesewing #collectthimbles #heirloomsewingtools #handsewingtools #grandmasthimbles #notyourgrandmasthimbles #sterlingsilverthimbles #sterlingsilverthimble #silverthimble",https://passport.mainstreethub.com/location/79073/content/2d20f802-e07c-41c1-ae2d-af827a565765,Perfectly tailoring content to a niche business.,Retail,Hobbies and crafts,Product/Service,https://media.mainstreethub.com/media/1bf1fd7c-ac2d-4e63-a300-5f27f3d8ae52,Omar Guzman
"When you dine with us, be sure to save some room for dessert! Our housemade Brownie Sundae tastes just as good as it looks -- served with caramel, chocolate sauce, and vanilla ice cream. 😋",https://passport.mainstreethub.com/location/79288/content/060de646-383b-48c9-8847-0c20fe49f2ac,"While this is a content request, it's exactly the kind of appealing product highlight you can create by referencing a restaurant's menu.",Restaurant,American,Product/Service,https://media.mainstreethub.com/media/7c62a97a-3b82-4569-934a-b335990950c0,Olivia Rees
"We're serving up time-honored recipes cooked fresh right in front of you, just like Southeast Asian street vendors have been doing for decades. Want to taste tradition? Place your order here: https://direct.chownow.com/order/10976/locations/15127.",https://passport.mainstreethub.com/location/43008/content/2a004bea-fbfe-4ba7-b4b5-006df58fe969,Outstanding sense of customer voice and detail -- totally unique to this restaurant and how they approach their food. Mentioning online orders makes it that much more actionable.,Restaurant,Thai and Lao,Product/Service,https://media.mainstreethub.com/media/a0686393-2201-4db7-ba0b-66983a4b8074,Annie Cranford
"Refreshing drinks, hot bar-b-que, and waffles fries -- we could go on! Now that you're hungry, head our way to try it for yourself.",https://passport.mainstreethub.com/location/35393/content/f9e7eb96-c06c-4197-85ea-1bdfd432da4d,Simple but effective. Taking inspiration from the photo to make this post unique to the customer. The descriptive details also make it much more likely that someone will be inspired to place an order!,Restaurant,Barbeque,Product/Service,https://media.mainstreethub.com/media/ebb90ef8-0ac7-49f4-b8de-a6b171b89110,Jamison Duck
"Our western burger features cheddar, bacon, jalapenos, and a giant onion ring. Learn more about our mouth-watering burgers at https://mooniesburgerhouse.com/cedarpark/.",https://passport.mainstreethub.com/location/40098/content/328eb4c3-d527-46b8-91e8-2ffd896c858e,Going to the menu for an ultra-specific product highlight that's sure to make mouths water (plus a helpful link to the menu for more!),Restaurant,American,Product/Service,https://media.mainstreethub.com/media/74791de3-7c5f-4c71-af07-a3afcc34181c,Isa Jones
"Whether you’re celebrating a birthday or you’re here for a weeknight dinner, bring the whole family down to Sage Bistro for the best comfort food in town.",https://passport.mainstreethub.com/location/78196/content/8edede3c-efae-4f67-8332-1486bcb7d6cf,"Highlighting some specific ocassions to celebrate at this spot and describing their food in a unique, on-brand way!",Restaurant,American,Product/Service,https://media.mainstreethub.com/media/766926ee-3419-416b-af3a-af137cae5897,Joshu Creel
Our secret... they're extensions! Blended to perfection effortlessly into her natural hair. Let's talk about your future with extensions: (720) 273-6381!,https://passport.mainstreethub.com/location/79832/content/9632a21d-21cf-4158-a054-0c56e2073a97,Unique way to highlight this salon's extensions.,Spa and Salon,Hair Salon,Product/Service,https://media.mainstreethub.com/media/86cd7fd9-67b7-4d2a-a57b-b66121c8efc5,Jordan DeRego
"With warmer weather on its way, stay cool with a shorter cut! Book time with us by giving us a call at (281) 487-9926.",https://passport.mainstreethub.com/location/60371/content/e4d8183f-99e9-4fe3-aed2-39edc937c265,Nice seasonal connection and CTA with a picture that clearly showcases the kind of haircut we're talking about!,Spa and Salon,Barbershop,Product/Service,https://media.mainstreethub.com/media/90db8256-d76b-4161-a890-e5bbaa3d5e19,Maddy Dessanti
Give yourself a lift.… Our residential elevators are now a more affordable than ever. #NYHomeRemodeling #CustomRenovatorsofNewYork #NYSeniorLiving #HomeElevators #StairLift #retirement #retirementplanning #seniorliving,https://passport.mainstreethub.com/location/75556/content/f72d1261-a9eb-44b4-a440-609a98bf42c8,Wordplay works well to promote this specific product the customer sells and installs.,Home Services,construction,Product/Service,https://media.mainstreethub.com/media/1d995c38-d51e-421f-b1fe-ebe8ffb160b2,Jose Rodriguez
"Custom drapes, blinds, or upholstery are great ways to elevate the style and appearance of any home.",https://passport.mainstreethub.com/location/68589/content/96fbef14-aadb-4b51-8766-032d8e27f0d8,Highlighting specific products this customer creates and why they're a premium alternative for your home.,Home Services,Drapes,Product/Service,https://media.mainstreethub.com/media/879ead26-9a69-4b0c-837d-b4ee719de6ee,Stephanie Torre
Getting some fresh air on your new porch makes for an unbeatable afternoon. Let us show you!,https://passport.mainstreethub.com/location/41574/content/09ae5e42-daf8-449e-bb30-dc9960f1da56,Making people imagine how great it would be to have the kind of home features the customer provides. ,Home Services,construction,Product/Service,https://media.mainstreethub.com/media/10c7835f-fabe-4044-86a1-2b6ee394d45e,Noah Ainsworth
"After our team is done with that first cleanup, you might not even recognize your office -- but you'll enjoy a more productive and stress-free workplace! #commercialcleaning #janitorialservice #lakeland #supportlocal",https://passport.mainstreethub.com/location/75676/content/d8e58c45-240e-4cb3-a189-1652c7b3c648,"Clever and eye-catching graphic, and it's great to promote commercial cleaning services.",Home Services,Cleaning,Product/Service,https://media.mainstreethub.com/media/829fcf4f-98cf-4cea-9e98-011207cbe0c2,Cecil Sparkman
"Spring is in the air, but what else is in your air? It's the perfect time to develop an understanding about your indoor air quality, and we're happy to test and suggest methods that can improve breathing in your home.",https://passport.mainstreethub.com/location/50843/content/3cbfb12b-fa91-4061-a97e-c6bde026f69f,Using the seasonal connection and wordplay to highlight a specific service this customer offers.,Home Services,HVAC,Product/Service,https://media.mainstreethub.com/media/1220f897-0336-4fbe-ad19-ade16ed32021,Cecil Sparkman
"Whether it's scratched or simply faded with time, we're here to restore its shine. Before you consider the costly replacement of your stainless steel appliances, call our team for an assessment: (469) 645-8347.",https://passport.mainstreethub.com/location/79910/content/be8de0d2-7db2-4b73-9999-4a955bd01f54,"This is a very specific aspect of appliance repair, and the caption clearly describes why you'd need it!",Home Services,Appliance Repair,Product/Service,https://media.mainstreethub.com/media/471f343c-348c-4530-8113-d3da1c51bc00,Cecil Sparkman
"Tree care is an investment. Healthy trees help increase property values, beautify your surroundings, purify the air, and even can conserve energy in hot weather with the shade they provide. Call (888) 439-8733 to learn more about our tree care services.",https://passport.mainstreethub.com/location/68274/content/c3d152a7-31b4-4ca1-a6ca-babc04b5fc7d,"Such a clear way to describe why you should invest in tree care. Not pushy, just giving people the info they need!",Home Services,Landscaping,Product/Service,https://media.mainstreethub.com/media/03104cfb-9f6d-48eb-b0a4-8cf4b07264af,Hallie Colbert
"Now that it's peak allergy season, make sure your air vents are clean to keep those sneezes at bay! We can help improve the air quality in your home, so give us a ring at (585) 594-2328 if you need a hand.",https://passport.mainstreethub.com/location/61743/content/35e45421-2217-40f1-a9f1-6f74a7bb6c2c,"Perfect stock photo and clear, helpful, seasonal CTA.",Home Services,HVAC,Product/Service,https://media.mainstreethub.com/media/eec189dc-ec08-4a70-996e-3f881e08e9ac,Gillian Golden
"If you want to monitor who has access to your business or check on your employees, our local company will partner with you to create a system specifically designed to fit your needs.",https://passport.mainstreethub.com/location/76435/content/74bbae41-4fc4-41e8-b280-74d3ff6b558b,This content request is a great example of how a security customer describes their services.,Home Services,Security,Product/Service,https://media.mainstreethub.com/media/d2636ccb-d329-47e7-b343-cb6d47abcd3a,Jessamy Tomlinson
"When it comes to quality and craftsmanship, the difference is in the details. Experience what sets us apart from the rest by calling us to help with your next kitchen or bathroom remodel, or full-scale renovation: (503) 756-4680. #freeconsultations",https://passport.mainstreethub.com/location/59401/content/71448d0a-ebc5-49f9-af56-92b20542f07e,"Going beyond general qualifiers like ""quality"" and ""craftsmanship"" by tying it back to the specific types of projects the customer works on and why these values are so important in that context.",Home Services,construction,Product/Service,https://media.mainstreethub.com/media/f508f0e0-161d-48e0-8d2b-bd643d338c91,Robert Valenzuela
"Just imagine: The grill is going, cocktails are being made, and the sun is setting over your personal paradise. All of that is possible when you work with us. Learn more about our design services at http://www.ornataresidential.com/. #ornataresidential #ornatadesign",https://passport.mainstreethub.com/location/74412/content/e2ea6366-873a-46e8-a843-52e20297c0af,Such a creative and appealing description of how you'd enjoy your renovated space plus a customer-specific CTA!,Home Services,construction,Product/Service,https://media.mainstreethub.com/media/6f2972d5-8ebc-4086-80ba-aedf75095022,Isa Jones
